formula,formation_energy,e_hull,density,volume,nsites,stability
B6P,-0.326223649710885,0.0,2.6073925513727563,122.07265749137632,14,1
B9H11,-0.09809325075,0.0,0.9893997412867692,1455.26419177524,160,1
BBr3,-0.927507426041666,0.0,3.160863752001252,263.2212339544504,8,1
BI3,-0.347344851041667,0.0,3.787581409278581,343.3017052728368,8,1
BP,-0.483304295238095,0.0,2.981368782582196,23.272944325085422,2,1
BS2,-0.7289695282638881,0.0,1.841349691563198,1081.3151571176138,48,1
Ba3As14,-0.44724163764706,0.0,4.884319645929317,993.3231783751852,34,1
Ba3P14,-0.50608046735294,0.0,3.162453986024103,888.0284343553575,34,1
BaH2,-0.6047468716666671,0.0,4.1024432943265055,225.6063319266837,12,1
BaI2,-2.050704712499999,0.0,4.965111263558779,523.2483013931756,12,1
BaO,-2.8236427075,0.0,5.859229670745691,43.45357520500392,2,1
BaO2,-2.170192663333334,0.0,5.534178952108108,50.80647162235199,3,1
BaS,-2.329565223749999,0.0,4.190346371817915,67.12620118023261,2,1
BaS2,-1.7528733849999991,0.0,3.693656366723054,181.1360806348224,6,1
BaS3,-1.4342925506249982,0.0,3.80619643432229,203.75848204461352,8,1
BaSe,-2.283761781171875,0.0,4.84730673334938,74.09331260733886,2,1
BaTe,-2.003574658333334,0.0,4.937715825789216,89.09415786940792,2,1
Be2C,-0.230531401666667,0.0,2.466756874278714,20.218610784013585,3,1
Be3N2,-1.217352798500001,0.0,2.724295335866355,268.4366404588809,40,1
BeS,-1.307732301249999,0.0,2.361792329991975,28.88072104843785,2,1
BeSe,-1.029387863671874,0.0,4.2335305740883165,34.50577300165209,2,1
BeTe,-0.570361940833332,0.0,4.996636953414623,45.4005098428141,2,1
Bi2O3,-1.641727215000003,0.0,9.438175801265304,327.9206233179676,20,1
Bi2S3,-0.414615469187504,0.0,6.602026285137526,517.2810621133061,20,1
BiCl3,-1.044261659374999,0.0,4.7866940266516025,437.57415036155714,16,1
BiF5,-1.871315934166666,0.0,5.769338760918803,87.48976145342537,6,1
BiI3,-0.7663869175000011,0.0,5.324512983950062,367.81189633263233,8,1
BiO2,-1.459764126666667,0.0,9.362232999004997,170.96578385970207,12,1
Br,0.0,0.0,3.372613643437797,157.36604023502463,4,1
Br2O3,-0.198695136500001,0.0,3.609499311286582,764.8048299722651,40,1
BrCl,-0.359564575,0.0,2.419080471638261,158.36993217183098,4,1
BrF3,-1.24064686125,0.0,3.634824695074091,125.08250317300543,8,1
BrF5,-1.326850845833333,0.0,3.281151029412528,177.0242604240604,12,1
CBr4,-0.215968716874999,0.0,3.054042881547761,2884.98419824968,80,1
Ca3N2,-0.9597206842499992,0.0,2.634933159523292,747.4059775130344,40,1
Ca5P8,-1.057331754908424,0.0,2.539264062615659,293.08513802771955,13,1
CaC2,-0.138030033333333,0.0,2.199846562628209,96.76998369119411,6,1
CaH2,-0.6668815449999991,0.0,1.960743294233768,142.59598879737652,12,1
CaI2,-1.89441126,0.0,3.810445046731192,128.07184962611453,3,1
CaO,-3.306019392499999,0.0,3.353083748678994,27.771067003632275,2,1
CaO2,-2.206560153333333,0.0,3.312892458777454,36.12744563392267,3,1
CaS,-2.436088926406249,0.0,2.5810342007468723,46.41405753052727,2,1
CaSe,-2.315957819531251,0.0,3.771646029600366,52.40874882176445,2,1
CaTe,-1.917514015000001,0.0,4.265149322704297,65.28162287945732,2,1
CdCl2,-1.2745155149999992,0.0,3.869336071868258,78.67112972818981,3,1
CdF2,-2.457565739999999,0.0,6.340854969929461,39.38870067731385,3,1
CdI2,-0.827083558444443,0.0,5.339921249967611,341.6469020071765,9,1
CdP2,-0.181319395734126,0.0,4.130574789836572,560.7532228378684,24,1
CdS,-0.7766083889062491,0.0,4.702284793707707,102.03892478274858,4,1
CeF4,-4.057656529333332,0.0,4.737642139028645,454.4772832450901,30,1
CeO2,-3.9271761966666654,0.0,6.994759103664203,40.85964149792201,3,1
Cl2,0.0,0.0,2.086496109964204,112.8611575109618,4,1
Cl2O7,-0.30258604611111,0.0,2.356081884394688,257.81411610784386,18,1
ClF3,-0.6182932559375001,0.0,2.497464466586691,491.74309619014207,32,1
ClO3,-0.33921599625,0.0,2.434144412054772,227.7169375298868,16,1
CoF2,-2.341685073333334,0.0,4.666660251169866,68.98126085349506,6,1
CrBr3,-1.21740412,0.0,4.353329389229361,667.6168781881327,24,1
CrCl3,-1.425545254374999,0.0,2.832861229191603,185.6461073600753,8,1
CrF3,-3.04001977,0.0,3.9089680584202062,92.5995427979218,8,1
CrF4,-2.60675029,0.0,3.088170448140656,550.5704346216421,40,1
CrF5,-2.309802503333333,0.0,3.08059983917544,316.9246532315126,24,1
Cs2O2,-1.224223352327586,0.0,4.690966106411125,105.42063966239483,4,1
Cs2Pt,-0.06368258,0.0,6.636621423383506,230.63964162854523,6,1
Cs2S,-1.192438348437498,0.0,4.026382662216831,491.3935080242464,12,1
Cs2S3,-0.969698954687498,0.0,3.416714592943785,351.8730811412738,10,1
Cs2S5,-0.743681253794641,0.0,3.046112503708791,929.2044401895766,28,1
Cs2Te,-1.220100983333334,0.0,4.077192021558062,640.9059681586167,12,1
Cs3As11,-0.28239570742611,0.0,4.005710412372885,2027.7020125209888,56,1
Cs3As7,-0.377161667896553,0.0,4.030122931638817,3042.995595440295,80,1
Cs3P7,-0.532562034083332,0.0,2.891058800427159,1414.175426477256,40,1
CsAu,-0.360558844999999,0.0,6.97259852405392,78.55971856017129,2,1
CsBr3,-1.378872292413793,0.0,3.828121031122597,646.5269313550925,16,1
CsGe,-0.205434222327586,0.0,4.223040828808655,2586.3164799242613,64,1
CsH,-0.247597554374998,0.0,3.4210452945750163,65.00013874224075,2,1
CsI,-1.729146057327588,0.0,3.622301623299378,119.10231948389796,2,1
CsI3,-1.113519470538793,0.0,4.235257200307448,805.5087520688634,16,1
CsI4,-0.975770047431038,0.0,4.331436718846286,982.2274545172628,20,1
CsP7,-0.246341467291665,0.0,2.643944226993856,878.5763058071049,32,1
CsS,-1.107907756406248,0.0,3.167069221311618,172.99266992412373,4,1
CsS3,-0.655204124609374,0.0,2.977987927380984,510.98964781934046,16,1
CsSi,-0.151711822343749,0.0,3.382528180601402,2529.0599289107195,64,1
CsSn,-0.407444011093751,0.0,4.2244509756296384,3164.944576612693,64,1
CsTe,-1.0644603675,0.0,4.700155721594678,368.1405515606796,8,1
CuP10,-0.063789065887445,0.0,2.630580678955053,942.532633788055,44,1
Dy2O3,-4.005045779666665,0.0,8.333958276713304,594.5583725490907,40,1
DyCl3,-2.527565295624999,0.0,4.532576383764497,196.99651372944453,8,1
Er2O3,-4.057094096999998,0.0,8.894209986204963,571.3227771258436,40,1
Er2S3,-2.3661894406875,0.0,6.204950661786847,691.5920547737513,30,1
EuBr2,-2.393062800000004,0.0,5.451975810284797,949.5815900272148,30,1
EuCl2,-2.6734610466666693,0.0,4.871434851663826,303.88117919445483,12,1
EuI2,-1.8748465075,0.0,5.292732391321431,509.22795200753416,12,1
FeF2,-2.590574678333332,0.0,4.318802548760486,72.16258851761452,6,1
FeF3,-2.648772015416667,0.0,3.813987565986234,98.25704624481654,8,1
Ga2I3,-0.6586228404999981,0.0,4.370491340830161,790.5244090935928,20,1
Ga2O3,-2.268996668999999,0.0,5.887587999533202,105.73376293730534,10,1
Ga2S3,-0.7975143386875001,0.0,3.571704039881657,219.106108358102,10,1
Ga2Se3,-0.700867464437499,0.0,4.965206661647674,251.7131984069082,10,1
GaBr2,-1.13377497625,0.0,3.897934992346774,782.2504854372522,24,1
GaBr3,-1.237540705624999,0.0,3.718367562186263,552.7467604856777,16,1
GaCl2,-1.09882738375,0.0,2.822791295142771,661.8128624633736,24,1
GaI2,-0.727731253611111,0.0,4.357624036057486,1479.4413319299028,36,1
GaI3,-0.7841287225000011,0.0,4.1931707844143045,713.5099372572107,16,1
GaN,-0.670049406875,0.0,6.080976820120369,45.72832358928343,4,1
GaP,-0.508916133988096,0.0,4.128066394428307,40.5058667192971,2,1
GaS,-0.7642187451562491,0.0,3.775576275936825,179.0698300424525,8,1
GaSe,-0.69001870828125,0.0,4.850188151865577,407.231921416199,16,1
GaTe,-0.442993200833332,0.0,5.154297046168311,381.42452478437787,12,1
Gd2O3,-3.895411792000001,0.0,7.632702112600969,630.9088590562675,40,1
GdBr3,-2.3183582925,0.0,4.358708510626524,302.4615696822174,8,1
GdCl3,-2.506313930624998,0.0,4.459738773488724,196.3043420433048,8,1
Ge3N4,-0.192592425714287,0.0,5.225428290699124,348.2197732038494,28,1
Ge3Os2,-0.084102020749998,0.0,12.870450274103266,617.6215100547992,40,1
Ge4Se9,-0.564213325853364,0.0,4.069741392228336,1634.0416289395937,52,1
GeBr2,-0.927984858749999,0.0,3.641964924077439,847.869747237202,24,1
GeBr4,-1.061983198249999,0.0,3.595383064417157,1449.317417227897,40,1
GeI2,-0.594992870555555,0.0,4.739246027910595,343.1439610400316,9,1
GeI4,-0.586300152499999,0.0,4.142400755833911,1860.8356559137856,40,1
GeO2,-2.156655663333334,0.0,6.20512814957392,56.00426327829353,6,1
GeS,-0.50118695875,0.0,3.958290699903206,175.6988115830953,8,1
GeS2,-0.6633624314583321,0.0,2.768684046510788,1312.4613676311556,48,1
GeSe2,-0.5793224153125001,0.0,4.115928916643514,1488.2818239048045,48,1
HfI4,-1.216609491000001,0.0,5.243518504521639,869.1178930023002,20,1
HfS2,-1.806995168541668,0.0,5.79919885634548,69.47166295179909,3,1
HfS3,-1.373804485859373,0.0,5.431896671846112,167.9432437929641,8,1
HgBr,-0.689096676250002,0.0,7.337680531987949,126.95326347785604,4,1
HgBr2,-0.8287702491666711,0.0,5.774534549074684,207.27383454880425,6,1
HgCl,-0.621251812500002,0.0,6.920946901522058,113.267339996862,4,1
HgCl2,-0.683485675,0.0,5.308672819229549,339.6929744266541,12,1
HgF,-1.314067998750001,0.0,9.86323787350034,73.9382192262809,4,1
HgI,-0.443566703750002,0.0,7.187592340905009,151.3211478162347,4,1
HgI2,-0.564617394374998,0.0,5.894833826436059,256.0028709572018,6,1
HgO,-0.635057482500004,0.0,10.77019190675644,133.5742810249583,8,1
HgS4,-0.185582542,0.0,0.9817048101229012,2224.979510828908,20,1
HgSe,-0.23692071328125,0.0,8.307718381660244,167.628586361131,6,1
Ho2O3,-4.027559444749998,0.0,8.612953640267063,582.7960001301811,40,1
Ho2S3,-2.376410549020833,0.0,6.046408249359246,702.0518684032684,30,1
Ho2Se3,-2.184930186937501,0.0,6.61308896811743,569.2317026956865,20,1
I,0.0,0.0,4.84113681051981,174.11598837963092,4,1
I2O5,-0.7564620653571411,0.0,5.159777653138838,429.70673644895584,28,1
ICl,-0.464540954999999,0.0,3.599104829594085,599.2621717471073,16,1
ICl3,-0.195612978749998,0.0,3.015914188071446,256.8661311901365,8,1
IF7,-1.692126078749999,0.0,2.922964710438197,295.29125934113586,16,1
In5Cl9,-1.120648401607141,0.0,3.754387779129696,790.0828490560066,28,1
In7Cl9,-1.022579103125,0.0,4.075167849986771,1830.067682342686,64,1
InBr,-0.934811325833333,0.0,4.971175859765129,130.0873263179074,4,1
InBr2,-1.152392488888888,0.0,4.175212022338988,873.7802042419324,24,1
InBr3,-1.239028326666666,0.0,4.47478553312914,263.1236339364951,8,1
InCl,-0.910675994374999,0.0,4.257002267367651,1875.7302000224524,64,1
InI,-0.6524206583333321,0.0,5.312211809671205,151.119578469854,4,1
InI2,-0.763738817222221,0.0,4.566471092825289,1072.3719431102218,24,1
InI3,-0.7810132685416661,0.0,4.39154900218926,749.4843069014399,16,1
InS,-0.683356846406249,0.0,4.920436511985393,198.2791235088956,8,1
IrBr3,-0.708474681249999,0.0,6.516801717706128,220.1187053301764,8,1
IrCl3,-0.624767009999999,0.0,5.344511780386393,371.0700866400312,16,1
IrF3,-1.485668521250001,0.0,8.501165743894461,97.35761479811586,8,1
K2O,-1.233878036499999,0.0,2.413811104778204,129.6009765025592,6,1
K2O2,-1.284958853625,0.0,2.434651554559929,150.3161849315957,8,1
K2P3,-0.549982655785713,0.0,1.977432395536569,574.7815911954909,20,1
K2Pt,-0.030913012499998,0.0,4.19612377202133,108.14578813658052,3,1
K2S,-1.247886656770833,0.0,1.79720207513612,101.87707708492104,3,1
K2S3,-0.9450748251874992,0.0,2.12611636609544,272.4065994738514,10,1
K2S5,-0.700578589866071,0.0,2.110672500110484,750.6127739044418,28,1
K2Se,-1.239938295614582,0.0,2.311697321907826,112.88877285139448,3,1
K2Te,-1.222004715833333,0.0,2.495220889363191,136.9551271112786,3,1
K3As11,-0.25697280155357,0.0,3.562926532516817,1755.0577375645348,56,1
K3As7,-0.3454302726125,0.0,3.205285045854789,5319.436890725594,160,1
K3P11,-0.374327798856292,0.0,1.954990444712359,1556.0942020279083,56,1
K4Sn9,-0.216400631846152,0.0,3.986222084985664,2040.8299471078512,52,1
KH,-0.289571701249999,0.0,1.459479754451464,45.63131357684779,2,1
KI,-1.669989291124999,0.0,3.100477184592222,88.90698700144401,2,1
KN3,-0.221112333750001,0.0,2.057829582410366,130.91489535524028,8,1
KP,-0.536587557113094,0.0,2.079296273351812,447.6799113986769,16,1
KS,-1.099480114947915,0.0,1.932581590949447,366.8753970696398,12,1
KS3,-0.618411601796874,0.0,1.990182734819924,903.072089486542,32,1
KSi,-0.1373072734375,0.0,1.774655569810547,2011.6367627018603,64,1
KrF2,-0.009234352222222,0.0,3.695848893438977,54.72221402103786,3,1
La2O3,-3.8759289195,0.0,6.615226585908185,81.78386608522705,5,1
La2S3,-2.508305558187499,0.0,4.927142517339004,504.1879526114183,20,1
LaBr3,-2.423042803749999,0.0,4.962730462902288,253.3722534125192,8,1
LaCl3,-2.703267628124999,0.0,3.780331417017139,215.46853392303896,8,1
LaI3,-1.83098206,0.0,5.211400295711964,331.13842768628007,8,1
Li2O2,-1.650170236666666,0.0,2.414495373744071,63.10789545123132,8,1
